file_name,pass,width,height,blur_score,reasons
10000@4_03001_220718_P1_T1.jpg,True,4032,2268,661.59,합격
10004@4_03001_220718_P1_T1.jpg,True,4032,2268,843.36,합격
10005@4_03001_220718_P1_T1.jpg,True,4032,2268,700.72,합격
10006@3_03001_220718_P1_T1.jpg,True,4032,2268,653.34,합격
10007@5_03001_220718_P1_T1.jpg,True,4032,2268,1003.94,합격
10008@3_03001_220718_P1_T1.jpg,True,4032,2268,715.02,합격
10009@4_03001_220718_P1_T1.jpg,True,4032,2268,1045.79,합격
10010@2_03001_220718_P1_T1.jpg,True,4032,2268,890.1,합격
10011@4_03001_220718_P1_T1.jpg,True,4032,2268,567.09,합격
10012@2_03001_220718_P1_T1.jpg,True,4032,2268,483.41,합격
10013@1_03001_220718_P1_T1.jpg,True,4032,2268,1641.46,합격
10014@1_03001_220718_P1_T1.jpg,True,4032,2268,1581.09,합격
10015@5_03001_220718_P1_T1.jpg,True,4032,2268,577.62,합격
10016@5_03001_220718_P1_T1.jpg,True,4032,2268,855.67,합격
10017@3_03001_220718_P1_T1.jpg,True,4032,2268,1229.78,합격
10018@5_03001_220718_P1_T1.jpg,True,4032,2268,760.32,합격
10019@4_03001_220718_P1_T1.jpg,True,4032,2268,629.18,합격
10024@1_03001_220722_P1_T1.jpg,True,4032,2268,1910.41,합격
10025@4_03001_220722_P1_T1.jpg,True,4032,2268,1324.34,합격
10026@5_03001_220722_P1_T1.jpg,True,4032,2268,1462.39,합격
10027@3_03001_220722_P1_T1.jpg,True,4032,2268,432.89,합격
10028@3_03001_220722_P1_T1.jpg,True,4032,2268,729.44,합격
10029@4_03001_220722_P1_T1.jpg,True,4032,2268,901.69,합격
10030@5_03001_220722_P1_T1.jpg,True,4032,2268,435.71,합격
10033@2_03001_220722_P1_T1.jpg,True,4032,2268,1482.83,합격
10034@4_03001_220722_P1_T1.jpg,True,4032,2268,341.97,합격
10036@5_03001_220722_P1_T1.jpg,True,4032,2268,1350.16,합격
10037@1_03001_220722_P1_T1.jpg,True,4032,2268,3301.06,합격
10039@2_03001_220722_P1_T1.jpg,True,4032,2268,419.51,합격
10041@1_03001_220722_P1_T1.jpg,True,4032,2268,2217.55,합격
10043@4_03001_220722_P1_T1.jpg,True,4032,2268,1789.85,합격
10044@2_03001_220722_P1_T1.jpg,True,4032,2268,1283.34,합격
10046@5_03001_220722_P1_T1.jpg,True,4032,2268,1230.9,합격
10047@5_03001_220722_P1_T1.jpg,True,4032,2268,1246.62,합격
10048@1_03001_220722_P1_T1.jpg,True,4032,2268,2358.24,합격
10049@2_03001_220722_P1_T1.jpg,True,4032,2268,820.76,합격
10051@2_03001_220722_P1_T1.jpg,True,4032,2268,793.71,합격
10052@4_03001_220722_P1_T1.jpg,True,4032,2268,1487.59,합격
10054@2_03001_220722_P1_T1.jpg,True,4032,2268,882.32,합격
10055@5_03001_220722_P1_T1.jpg,True,4032,2268,695.84,합격
10056@5_03001_220722_P1_T1.jpg,True,4032,2268,222.73,합격
10058@3_03001_220722_P1_T1.jpg,True,4032,2268,383.12,합격
10059@4_03001_220722_P1_T1.jpg,True,4032,2268,215.05,합격
10060@1_03001_220722_P1_T1.jpg,True,4032,2268,1575.15,합격
10062@2_03001_220722_P1_T1.jpg,True,4032,2268,1399.34,합격
10063@3_03001_220722_P1_T1.jpg,True,4032,2268,435.54,합격
10066@2_03001_220722_P1_T1.jpg,True,4032,2268,1153.72,합격
10067@1_03001_220722_P1_T1.jpg,True,4032,2268,988.72,합격
10068@3_03001_220722_P1_T1.jpg,True,4032,2268,589.78,합격
1009929@1_03001_221020_P1_T1.jpg,True,4000,2250,2424.64,합격
1009968@2_03001_221020_P1_T1.jpg,True,4000,2250,947.42,합격
1010010@3_03001_221020_P1_T1.jpg,True,4000,2250,1140.63,합격
1010051@4_03001_221020_P1_T1.jpg,True,4000,2250,1456.4,합격
1010094@5_03001_221020_P1_T1.jpg,True,4000,2250,444.64,합격
1010858@3_03001_221020_P1_T1.jpg,True,4000,2250,2109.54,합격
101100@2_03001_220805_P1_T1.jpg,True,4032,3024,484.93,합격
101101@1_03001_220805_P1_T1.jpg,True,4032,3024,530.63,합격
101102@5_03001_220805_P1_T1.jpg,True,4032,3024,723.11,합격
101103@2_03001_220805_P1_T1.jpg,True,4032,3024,553.83,합격
101104@4_03001_220805_P1_T1.jpg,True,4032,3024,518.24,합격
101107@1_03001_220805_P1_T1.jpg,True,4032,3024,537.67,합격
101108@2_03001_220805_P1_T1.jpg,True,4032,3024,554.79,합격
101110@5_03001_220805_P1_T1.jpg,True,4032,3024,706.47,합격
101111@2_03001_220805_P1_T1.jpg,True,4032,3024,521.11,합격
101112@5_03001_220805_P1_T1.jpg,True,4032,3024,766.75,합격
101113@3_03001_220805_P1_T1.jpg,True,4032,3024,694.47,합격
101114@4_03001_220805_P1_T1.jpg,True,4032,3024,534.1,합격
101115@1_03001_220805_P1_T1.jpg,True,4032,3024,958.3,합격
101116@5_03001_220805_P1_T1.jpg,True,4032,3024,526.13,합격
101117@2_03001_220805_P1_T1.jpg,True,4032,3024,473.82,합격
101119@2_03001_220805_P1_T1.jpg,True,4032,3024,483.21,합격
101121@4_03001_220805_P1_T1.jpg,True,4032,3024,824.48,합격
101122@1_03001_220805_P1_T1.jpg,True,4032,3024,828.5,합격
101123@3_03001_220805_P1_T1.jpg,True,4032,3024,559.41,합격
101125@2_03001_220805_P1_T1.jpg,True,4032,3024,457.08,합격
101126@5_03001_220805_P1_T1.jpg,True,4032,3024,692.86,합격
101127@3_03001_220805_P1_T1.jpg,True,4032,3024,495.29,합격
101129@4_03001_220805_P1_T1.jpg,True,4032,3024,662.89,합격
101131@3_03001_220805_P1_T1.jpg,True,4032,3024,415.03,합격
101132@4_03001_220805_P1_T1.jpg,True,4032,3024,625.74,합격
101133@1_03001_220805_P1_T1.jpg,True,4032,3024,750.92,합격
101134@4_03001_220805_P1_T1.jpg,True,4032,3024,441.31,합격
101135@1_03001_220805_P1_T1.jpg,True,4032,3024,967.21,합격
101136@3_03001_220805_P1_T1.jpg,True,4032,3024,746.58,합격
101138@5_03001_220805_P1_T1.jpg,True,4032,3024,658.96,합격
101140@3_03001_220805_P1_T1.jpg,True,4032,3024,631.33,합격
101141@2_03001_220805_P1_T1.jpg,True,4032,3024,341.69,합격
101143@5_03001_220805_P1_T1.jpg,True,4032,3024,638.8,합격
101144@4_03001_220805_P1_T1.jpg,True,4032,3024,586.03,합격
101145@5_03001_220805_P1_T1.jpg,True,4032,3024,745.91,합격
101146@4_03001_220805_P1_T1.jpg,True,4032,3024,743.27,합격
101147@3_03001_220805_P1_T1.jpg,True,4032,3024,587.26,합격
101148@4_03001_220805_P1_T1.jpg,True,4032,3024,751.85,합격
101149@2_03001_220805_P1_T1.jpg,True,4032,3024,584.44,합격
101150@4_03001_220805_P1_T1.jpg,True,4032,3024,783.45,합격
